#OTU ID	E.fulvus.1	E.fulvus.2	E.fulvus.3	O.hecate.1	O.hecate.2	O.hecate.3	O.taurus.MED.1	O.taurus.MED.2	O.taurus.MED.3	O.taurus.WV.1	O.taurus.WV.2	O.taurus.WV.3	taxonomy
23998831e00def52124d413766089c77	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Tenericutes; D_2__Mollicutes; D_3__Mollicutes RF39
49fa7b49d9f347cbea613202eeabe91c	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Clostridiales vadinBB60 group; D_5__uncultured bacterium; D_6__uncultured bacterium
a55bc4a292e22af350a3573d60fcfd43	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae
eaf8d0d0eca8ddf521f155b283a72a25	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Dysgonomonadaceae; D_5__Dysgonomonas; D_6__uncultured bacterium
12cd87593dfe97b94c1cb2448f1cd0c8	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Beijerinckiaceae; D_5__Camelimonas; D_6__uncultured bacterium
1748ec34188a85465d7f6bd6a175abf2	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prevotellaceae; D_5__Prevotella; D_6__unidentified
ce93a600d5f810fe2eb4fe98533ca2be	0.0	0.0	0.0	0.0	0.0	0.0	2322.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micrococcales; D_4__Micrococcaceae; D_5__Rothia; D_6__uncultured bacterium
fab12e8eadb85e77e42138a12bbbc9f6	0.0	331.0	0.0	0.0	85.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Myxococcales; D_4__Myxococcaceae; D_5__Myxococcus; D_6__Myxococcus fulvus
b7049f52034c42121a1f7dd6f4a63cdc	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Lachnospiraceae; D_5__Anaerocolumna; D_6__uncultured bacterium
52e99d15c92885c849fd583adc0748bd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Cyclobacteriaceae; D_5__Algoriphagus; D_6__uncultured bacterium
b617df0bb477bf95ae20c4472c13d7eb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia; D_3__Coriobacteriales; D_4__Eggerthellaceae; D_5__DNF00809; D_6__uncultured bacterium
3be1aac7654a247406775bc86a67e584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Acidimicrobiia; D_3__Microtrichales; D_4__uncultured; D_5__uncultured bacterium; D_6__uncultured bacterium
8648fb26f508f5a4a98a62fc68d0f7de	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	D_0__Bacteria; D_1__Chloroflexi; D_2__N9D0; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
6508c8fcc6e6fc2340bd2c0157c928b4	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Ruminococcaceae; D_5__Ruminococcus 2; D_6__uncultured bacterium
0613b671486f581100f8142a12112603	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Rhizobiaceae; D_5__Mesorhizobium
3c470ef52f05cb89bedae42e6d1965bf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	103.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Sphingobacteriales; D_4__Sphingobacteriaceae; D_5__Sphingobacterium; D_6__uncultured bacterium
4660107f706e0f69ec6d98c1c0ec78dd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Chitinophagaceae; D_5__Taibaiella; D_6__uncultured bacterium
fcc2be78f58089e6882fdcb3e0418829	5703.0	645.0	6802.0	13545.0	2065.0	599.0	401.0	933.0	1420.0	5579.0	14285.0	6928.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Moraxellaceae; D_5__Acinetobacter
c0c69beace019e9ac3665c2351c211b5	324.0	204.0	0.0	133.0	0.0	0.0	22.0	46.0	259.0	14.0	2689.0	5368.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Tannerellaceae
a0525ab48650cf5890895adac4b9f272	107.0	103.0	0.0	264.0	53.0	0.0	0.0	19.0	21.0	69.0	502.0	2083.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Caulobacterales; D_4__Caulobacteraceae; D_5__Brevundimonas; D_6__uncultured bacterium
ba836d5c263d90f902599c58d43dbf06	92.0	53.0	0.0	404.0	0.0	0.0	0.0	30.0	0.0	33.0	265.0	1423.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Caulobacterales; D_4__Caulobacteraceae; D_5__Brevundimonas
ab8874b0986519a3e3c30125c73c10cb	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodospirillales; D_4__Rhodospirillaceae; D_5__uncultured; D_6__metagenome
4ac20e6c00338b8aa4efc398443af423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Ruminococcaceae; D_5__Ruminococcaceae UCG-005
