Mother.Individual,Treatment ID,Breakdown date,BB weight,Adult emergence,Time to adulthood,Adult size,Sex,Dead?,,Maternal size
1.29,gs,10/2/2017,4.294,10/30/2017,28,5.87,m,,,6.19
1.30,gs,10/2/2017,2.765,,,,,y,,6.19
2.1,gs,10/2/2017,6.135,10/28/2017,26,6.07,f,,,4.77
2.2,gs,10/2/2017,4.999,,,,,y,,4.77
2.3,gs,10/2/2017,4.767,10/25/2017,23,6.23,f,,,4.77
2.4,gs,10/2/2017,3.405,,,,,y,,4.77
2.5,gs,10/2/2017,3.983,10/24/2017,22,6.38,f,,,4.77
2.6,gs,10/2/2017,4.612,10/26/2017,24,6.55,m,,,4.77
2.7,gs,10/2/2017,5.568,10/24/2017,22,6.69,m,,,4.77
2.8,gs,10/2/2017,4.25,10/25/2017,23,6.13,f,,,4.77
2.9,gs,10/2/2017,4.328,10/25/2017,23,6.31,f,,,4.77
2.10,gs,10/2/2017,2.638,10/31/2017,29,5.07,f,,,4.77
2.11,gs,10/2/2017,5.388,,,,,y,,4.77
2.12,gs,10/2/2017,4.892,10/23/2017,21,6.75,m,,,4.77
